Level,Kanji,Hiragana,Furigana Format,English Meaning,Romaji,Example
N5,不便,ふべん,不便[ふべん],inconvenient,fuben,ここは不便です。 (This place is inconvenient.)
N5,有名,ゆうめい,有名[ゆうめい],famous,yuumei,彼は有名です。 (He is famous.)
N5,親切,しんせつ,親切[しんせつ],kind,shinsetsu,彼女は親切です。 (She is kind.)
N5,大切,たいせつ,大切[たいせつ],important,taisetsu,家族は大切です。 (Family is important.)
N5,大丈夫,だいじょうぶ,大丈夫[だいじょうぶ],alright / okay,daijoubu,大丈夫ですか。 (Are you okay?)
N5,上手,じょうず,上手[じょうず],skillful,jouzu,彼は料理が上手です。 (He is good at cooking.)
N5,下手,へた,下手[へた],unskillful,heta,歌が下手です。 (I'm bad at singing.)
N5,好き,すき,好[す]き,liked / favorite,suki,音楽が好きです。 (I like music.)
N5,嫌い,きらい,嫌[きら]い,disliked,kirai,野菜が嫌いです。 (I dislike vegetables.)
N5,同じ,おなじ,同[おな]じ,same,onaji,これは同じです。 (This is the same.)
N5,色々,いろいろ,色々[いろいろ],various,iroiro,色々な国へ行きました。 (I've been to various countries.)
N5,簡単,かんたん,簡単[かんたん],simple / easy,kantan,この料理は簡単です。 (This dish is simple.)
N5,複雑,ふくざつ,複雑[ふくざつ],complicated,fukuzatsu,この問題は複雑です。 (This problem is complicated.)
N5,特別,とくべつ,特別[とくべつ],special,tokubetsu,今日は特別な日です。 (Today is a special day.)
N5,必要,ひつよう,必要[ひつよう],necessary,hitsuyou,水が必要です。 (Water is necessary.)
N5,ご飯,ごはん,ご飯[はん],rice / meal,gohan,ご飯を食べます。 (I eat a meal.)
N5,パン,パン,パン,bread,pan,朝パンを食べます。 (I eat bread in the morning.)
N5,水,みず,水[みず],water,mizu,水を飲みます。 (I drink water.)
N5,お茶,おちゃ,お茶[ちゃ],tea,ocha,お茶を飲みます。 (I drink tea.)
N5,コーヒー,コーヒー,コーヒー,coffee,koohii,コーヒーが好きです。 (I like coffee.)
N5,牛乳,ぎゅうにゅう,牛乳[ぎゅうにゅう],milk,gyuunyuu,牛乳を飲みます。 (I drink milk.)
N5,肉,にく,肉[にく],meat,niku,肉を食べます。 (I eat meat.)
N5,魚,さかな,魚[さかな],fish,sakana,魚が好きです。 (I like fish.)
N5,野菜,やさい,野菜[やさい],vegetable,yasai,野菜を食べます。 (I eat vegetables.)
N5,果物,くだもの,果物[くだもの],fruit,kudamono,果物を買います。 (I buy fruit.)
N5,卵,たまご,卵[たまご],egg,tamago,卵を食べます。 (I eat an egg.)
N5,塩,しお,塩[しお],salt,shio,塩を入れます。 (I add salt.)
N5,砂糖,さとう,砂糖[さとう],sugar,satou,砂糖を入れます。 (I add sugar.)
N5,料理,りょうり,料理[りょうり],cooking / dish,ryouri,日本料理が好きです。 (I like Japanese food.)
N5,朝ご飯,あさごはん,朝[あさ]ご飯[はん],breakfast,asagohan,朝ご飯を食べました。 (I ate breakfast.)
N5,昼ご飯,ひるごはん,昼[ひる]ご飯[はん],lunch,hirugohan,昼ご飯は麺です。 (Lunch is noodles.)
N5,晩ご飯,ばんごはん,晩[ばん]ご飯[はん],dinner,bangohan,晩ご飯を作ります。 (I make dinner.)
N5,お菓子,おかし,お菓子[かし],sweets,okashi,お菓子を食べます。 (I eat sweets.)
N5,ケーキ,ケーキ,ケーキ,cake,keeki,ケーキを買いました。 (I bought a cake.)
N5,お酒,おさけ,お酒[さけ],alcohol,osake,お酒を飲みません。 (I don't drink alcohol.)
N5,体,からだ,体[からだ],body,karada,体が大きいです。 (The body is big.)
N5,頭,あたま,頭[あたま],head,atama,頭が痛いです。 (My head hurts.)
N5,顔,かお,顔[かお],face,kao,顔を洗います。 (I wash my face.)
N5,目,め,目[め],eye,me,目が大きいです。 (The eyes are big.)
N5,耳,みみ,耳[みみ],ear,mimi,耳が痛いです。 (My ear hurts.)
N5,口,くち,口[くち],mouth,kuchi,口を開けます。 (I open my mouth.)
N5,鼻,はな,鼻[はな],nose,hana,鼻が高いです。 (The nose is tall.)
N5,手,て,手[て],hand,te,手を洗います。 (I wash my hands.)
N5,足,あし,足[あし],foot / leg,ashi,足が痛いです。 (My leg hurts.)
N5,お腹,おなか,お腹[なか],stomach,onaka,お腹がすきました。 (I'm hungry.)
N5,背中,せなか,背中[せなか],back (body),senaka,背中が痛いです。 (My back hurts.)
N5,髪,かみ,髪[かみ],hair,kami,髪が長いです。 (The hair is long.)
N5,歯,は,歯[は],tooth,ha,歯を磨きます。 (I brush my teeth.)
N5,声,こえ,声[こえ],voice,koe,声が大きいです。 (The voice is loud.)
N5,天気,てんき,天気[てんき],weather,tenki,今日は天気がいいです。 (The weather is good today.)
N5,雨,あめ,雨[あめ],rain,ame,雨が降っています。 (It is raining.)
N5,雪,ゆき,雪[ゆき],snow,yuki,雪が降っています。 (It is snowing.)
N5,風,かぜ,風[かぜ],wind,kaze,風が強いです。 (The wind is strong.)
N5,空,そら,空[そら],sky,sora,空が青いです。 (The sky is blue.)
N5,太陽,たいよう,太陽[たいよう],sun,taiyou,太陽が出ています。 (The sun is out.)
N5,山,やま,山[やま],mountain,yama,山に登ります。 (I climb the mountain.)
N5,川,かわ,川[かわ],river,kawa,川で泳ぎます。 (I swim in the river.)
N5,海,うみ,海[うみ],sea,umi,海へ行きます。 (I go to the sea.)
N5,木,き,木[き],tree,ki,木の下で休みます。 (I rest under the tree.)
N5,花,はな,花[はな],flower,hana,花がきれいです。 (The flowers are pretty.)
N5,春,はる,春[はる],spring,haru,春は暖かいです。 (Spring is warm.)
N5,夏,なつ,夏[なつ],summer,natsu,夏は暑いです。 (Summer is hot.)
N5,秋,あき,秋[あき],autumn,aki,秋は涼しいです。 (Autumn is cool.)
N5,冬,ふゆ,冬[ふゆ],winter,fuyu,冬は寒いです。 (Winter is cold.)
N5,動物,どうぶつ,動物[どうぶつ],animal,doubutsu,動物が好きです。 (I like animals.)
N5,犬,いぬ,犬[いぬ],dog,inu,犬を飼っています。 (I keep a dog.)
N5,猫,ねこ,猫[ねこ],cat,neko,猫がかわいいです。 (The cat is cute.)
N5,鳥,とり,鳥[とり],bird,tori,鳥が飛んでいます。 (A bird is flying.)
N5,色,いろ,色[いろ],color,iro,この色が好きです。 (I like this color.)
N5,赤,あか,赤[あか],red,aka,赤い車です。 (It's a red car.)
N5,青,あお,青[あお],blue,ao,空は青いです。 (The sky is blue.)
N5,黄色,きいろ,黄色[きいろ],yellow,kiiro,バナナは黄色です。 (The banana is yellow.)
N5,白,しろ,白[しろ],white,shiro,雪は白いです。 (Snow is white.)
N5,黒,くろ,黒[くろ],black,kuro,猫は黒いです。 (The cat is black.)
N5,緑,みどり,緑[みどり],green,midori,葉は緑です。 (The leaves are green.)
N5,電車,でんしゃ,電車[でんしゃ],train,densha,電車で行きます。 (I go by train.)
N5,バス,バス,バス,bus,basu,バスに乗ります。 (I ride the bus.)
N5,車,くるま,車[くるま],car,kuruma,車で来ました。 (I came by car.)
N5,自転車,じてんしゃ,自転車[じてんしゃ],bicycle,jitensha,自転車に乗ります。 (I ride a bicycle.)
N5,タクシー,タクシー,タクシー,taxi,takushii,タクシーを呼びます。 (I call a taxi.)
N5,飛行機,ひこうき,飛行機[ひこうき],airplane,hikouki,飛行機で行きます。 (I go by plane.)
N5,船,ふね,船[ふね],boat / ship,fune,船で旅行します。 (I travel by ship.)
N5,服,ふく,服[ふく],clothes,fuku,新しい服を買いました。 (I bought new clothes.)
N5,靴,くつ,靴[くつ],shoes,kutsu,靴を履きます。 (I put on shoes.)
N5,帽子,ぼうし,帽子[ぼうし],hat,boushi,帽子をかぶります。 (I wear a hat.)
N5,かばん,かばん,かばん,bag,kaban,かばんを持ちます。 (I carry a bag.)
N5,眼鏡,めがね,眼鏡[めがね],glasses,megane,眼鏡をかけます。 (I wear glasses.)
N5,時計,とけい,時計[とけい],watch / clock,tokei,時計を見ます。 (I look at the clock.)
N5,窓,まど,窓[まど],window,mado,窓を開けます。 (I open the window.)
N5,ドア,ドア,ドア,door,doa,ドアを閉めます。 (I close the door.)
N5,電気,でんき,電気[でんき],electricity / light,denki,電気をつけます。 (I turn on the light.)
N5,電話,でんわ,電話[でんわ],telephone,denwa,電話をかけます。 (I make a phone call.)
N5,テレビ,テレビ,テレビ,television,terebi,テレビを見ます。 (I watch TV.)
N5,冷蔵庫,れいぞうこ,冷蔵庫[れいぞうこ],refrigerator,reizouko,冷蔵庫に牛乳があります。 (There is milk in the fridge.)
N5,ベッド,ベッド,ベッド,bed,beddo,ベッドで寝ます。 (I sleep in the bed.)
N5,鍵,かぎ,鍵[かぎ],key,kagi,鍵をなくしました。 (I lost my key.)
N5,お金,おかね,お金[かね],money,okane,お金がありません。 (I have no money.)
N5,財布,さいふ,財布[さいふ],wallet,saifu,財布を忘れました。 (I forgot my wallet.)
N5,傘,かさ,傘[かさ],umbrella,kasa,傘を持っています。 (I have an umbrella.)
N5,写真,しゃしん,写真[しゃしん],photo,shashin,写真を撮ります。 (I take a photo.)
N5,荷物,にもつ,荷物[にもつ],luggage,nimotsu,荷物が重いです。 (The luggage is heavy.)
N5,手紙,てがみ,手紙[てがみ],letter,tegami,手紙を書きます。 (I write a letter.)
N5,新聞,しんぶん,新聞[しんぶん],newspaper,shinbun,新聞を読みます。 (I read the newspaper.)
N5,いつ,いつ,いつ,when,itsu,いつ来ますか。 (When will you come?)
N5,どこ,どこ,どこ,where,doko,どこに行きますか。 (Where are you going?)
N5,誰,だれ,誰[だれ],who,dare,誰が来ますか。 (Who is coming?)
N5,どう,どう,どう,how,dou,どう思いますか。 (What do you think?)
N5,どうして,どうして,どうして,why,doushite,どうして遅れましたか。 (Why were you late?)
N5,どれ,どれ,どれ,which (of many),dore,どれが好きですか。 (Which one do you like?)
N5,どの,どの,どの,which (+noun),dono,どの本が好きですか。 (Which book do you like?)
N5,いくら,いくら,いくら,how much (price),ikura,これはいくらですか。 (How much is this?)
N5,いくつ,いくつ,いくつ,how many / what age,ikutsu,りんごはいくつですか。 (How many apples?)
N5,とても,とても,とても,very,totemo,とても暑いです。 (It's very hot.)
N5,少し,すこし,少[すこ]し,a little,sukoshi,少し休みます。 (I'll rest a little.)
N5,たくさん,たくさん,たくさん,a lot,takusan,本がたくさんあります。 (There are a lot of books.)
N5,よく,よく,よく,often / well,yoku,よく映画を見ます。 (I often watch movies.)
N5,時々,ときどき,時々[ときどき],sometimes,tokidoki,時々散歩します。 (I sometimes take a walk.)
N5,いつも,いつも,いつも,always,itsumo,いつも忙しいです。 (I'm always busy.)
N5,すぐに,すぐに,すぐに,right away,sugu ni,すぐに来ます。 (I'll come right away.)
N5,まだ,まだ,まだ,still / not yet,mada,まだ終わっていません。 (It's not finished yet.)
N5,もう,もう,もう,already,mou,もう食べました。 (I already ate.)
N5,ちょっと,ちょっと,ちょっと,a bit,chotto,ちょっと待ってください。 (Please wait a bit.)
N5,一緒に,いっしょに,一緒[いっしょ]に,together,issho ni,一緒に行きましょう。 (Let's go together.)
N5,全部,ぜんぶ,全部[ぜんぶ],all,zenbu,全部食べました。 (I ate it all.)
N5,大変,たいへん,大変[たいへん],tough / terrible,taihen,仕事が大変です。 (Work is tough.)
N5,本当に,ほんとうに,本当[ほんとう]に,really,hontou ni,本当にありがとう。 (Thank you really.)
N5,初めて,はじめて,初[はじ]めて,for the first time,hajimete,初めて日本へ行きます。 (I'm going to Japan for the first time.)
N5,もっと,もっと,もっと,more,motto,もっと勉強します。 (I'll study more.)
N5,すこし,すこし,少[すこ]し,a little,sukoshi,すこし疲れました。 (I got a little tired.)
N5,だんだん,だんだん,だんだん,gradually,dandan,だんだん寒くなります。 (It's gradually getting cold.)
N5,仕事,しごと,仕事[しごと],work / job,shigoto,仕事が忙しいです。 (Work is busy.)
N5,会社員,かいしゃいん,会社員[かいしゃいん],office worker,kaishain,父は会社員です。 (My father is an office worker.)
N5,医者,いしゃ,医者[いしゃ],doctor,isha,彼は医者です。 (He is a doctor.)
N5,看護師,かんごし,看護師[かんごし],nurse,kangoshi,姉は看護師です。 (My older sister is a nurse.)
N5,警察官,けいさつかん,警察官[けいさつかん],police officer,keisatsukan,警察官に道を聞きました。 (I asked a police officer for directions.)
N5,旅行,りょこう,旅行[りょこう],travel,ryokou,旅行が好きです。 (I like traveling.)
N5,趣味,しゅみ,趣味[しゅみ],hobby,shumi,趣味は読書です。 (My hobby is reading.)
N5,音楽,おんがく,音楽[おんがく],music,ongaku,音楽を聞きます。 (I listen to music.)
N5,映画,えいが,映画[えいが],movie,eiga,映画を見ます。 (I watch a movie.)
N5,歌,うた,歌[うた],song,uta,歌を歌います。 (I sing a song.)
N5,絵,え,絵[え],picture / drawing,e,絵を描きます。 (I draw a picture.)
N5,スポーツ,スポーツ,スポーツ,sports,supootsu,スポーツが好きです。 (I like sports.)
N5,野球,やきゅう,野球[やきゅう],baseball,yakyuu,野球をします。 (I play baseball.)
N5,サッカー,サッカー,サッカー,soccer,sakkaa,サッカーをします。 (I play soccer.)
N5,プール,プール,プール,swimming pool,puuru,プールで泳ぎます。 (I swim in the pool.)
N5,旅館,りょかん,旅館[りょかん],Japanese inn,ryokan,旅館に泊まります。 (I stay at a ryokan.)
N5,切符,きっぷ,切符[きっぷ],ticket,kippu,切符を買います。 (I buy a ticket.)
N5,値段,ねだん,値段[ねだん],price,nedan,値段が高いです。 (The price is high.)
N5,約束,やくそく,約束[やくそく],promise,yakusoku,約束を守ります。 (I keep my promise.)
N5,パーティー,パーティー,パーティー,party,paatii,パーティーに行きます。 (I go to a party.)
N5,プレゼント,プレゼント,プレゼント,present / gift,purezento,プレゼントをもらいました。 (I received a present.)
N5,病気,びょうき,病気[びょうき],sickness,byouki,病気で休みました。 (I was absent due to illness.)
N5,薬,くすり,薬[くすり],medicine,kusuri,薬を飲みます。 (I take medicine.)
N5,熱,ねつ,熱[ねつ],fever,netsu,熱があります。 (I have a fever.)
N5,会議,かいぎ,会議[かいぎ],meeting,kaigi,午後、会議があります。 (There is a meeting in the afternoon.)
N5,番号,ばんごう,番号[ばんごう],number,bangou,電話番号を教えてください。 (Please tell me your phone number.)
N5,地図,ちず,地図[ちず],map,chizu,地図を見ます。 (I look at a map.)
N5,窓口,まどぐち,窓口[まどぐち],counter / window (service),madoguchi,窓口で聞いてください。 (Please ask at the counter.)
N5,上,うえ,上[うえ],on / above,ue,机の上に本があります。 (There is a book on the desk.)
N5,下,した,下[した],under / below,shita,椅子の下に猫がいます。 (There is a cat under the chair.)
N5,中,なか,中[なか],inside,naka,箱の中に何がありますか。 (What is inside the box?)
N5,外,そと,外[そと],outside,soto,外は寒いです。 (It's cold outside.)
N5,前,まえ,前[まえ],front / before,mae,駅の前で待ちます。 (I'll wait in front of the station.)
N5,後ろ,うしろ,後[うし]ろ,behind,ushiro,後ろに立ってください。 (Please stand behind.)
N5,右,みぎ,右[みぎ],right,migi,右に曲がります。 (I turn right.)
N5,左,ひだり,左[ひだり],left,hidari,左に銀行があります。 (There is a bank on the left.)
N5,北,きた,北[きた],north,kita,北海道は北にあります。 (Hokkaido is in the north.)
N5,南,みなみ,南[みなみ],south,minami,南は暖かいです。 (The south is warm.)
N5,東,ひがし,東[ひがし],east,higashi,東に太陽が出ます。 (The sun rises in the east.)
N5,西,にし,西[にし],west,nishi,西に沈みます。 (It sets in the west.)
N5,隣,となり,隣[となり],next to,tonari,隣に座ってください。 (Please sit next to me.)
N5,近く,ちかく,近[ちか]く,nearby,chikaku,近くに公園があります。 (There is a park nearby.)
N5,間,あいだ,間[あいだ],between,aida,二つの建物の間にあります。 (It's between the two buildings.)
N5,横,よこ,横[よこ],side,yoko,横に座ります。 (I sit at the side.)
N5,角,かど,角[かど],corner,kado,その角を曲がります。 (I turn at that corner.)
N5,〜人,にん,〜人[にん],counter for people,-nin,三人来ます。 (Three people are coming.)
N5,〜枚,まい,〜枚[まい],counter for flat objects,-mai,"紙を三枚ください。 (Three sheets of paper, please.)"
N5,〜冊,さつ,〜冊[さつ],counter for books,-satsu,本を二冊買いました。 (I bought two books.)
N5,〜台,だい,〜台[だい],counter for machines,-dai,車が一台あります。 (There is one car.)
N5,〜匹,ひき,〜匹[ひき],counter for small animals,-hiki,猫が二匹います。 (There are two cats.)
N5,〜回,かい,〜回[かい],counter for times,-kai,三回読みました。 (I read it three times.)
N5,〜本,ほん,〜本[ほん],counter for long objects,-hon,鉛筆が五本あります。 (There are five pencils.)
N5,〜杯,はい,〜杯[はい],counter for cups,-hai,コーヒーを一杯飲みます。 (I drink one cup of coffee.)
N5,〜歳,さい,〜歳[さい],counter for age,-sai,二十歳になりました。 (I turned twenty.)
N5,〜階,かい,〜階[かい],counter for floors,-kai,三階に住んでいます。 (I live on the third floor.)
N5,〜円,えん,〜円[えん],yen (currency counter),-en,五百円です。 (It's 500 yen.)
N5,〜分,ふん,〜分[ふん],counter for minutes,-fun,十分かかります。 (It takes ten minutes.)
N5,開く,あく,開[あ]く,to open (by itself),aku,ドアが開きます。 (The door opens.)
N5,閉まる,しまる,閉[し]まる,to close (by itself),shimaru,店が閉まります。 (The shop closes.)
N5,止まる,とまる,止[と]まる,to stop,tomaru,電車が止まります。 (The train stops.)
N5,止める,とめる,止[と]める,to stop (something),tomeru,車を止めます。 (I stop the car.)
N5,動く,うごく,動[うご]く,to move,ugoku,電車が動きます。 (The train moves.)
N5,押す,おす,押[お]す,to push,osu,ボタンを押します。 (I push the button.)
N5,引く,ひく,引[ひ]く,to pull,hiku,ドアを引きます。 (I pull the door.)
N5,曲がる,まがる,曲[ま]がる,to turn,magaru,右に曲がります。 (I turn right.)
N5,渡る,わたる,渡[わた]る,to cross,wataru,橋を渡ります。 (I cross the bridge.)
N5,着く,つく,着[つ]く,to arrive,tsuku,駅に着きました。 (I arrived at the station.)
N5,出発する,しゅっぱつする,出発[しゅっぱつ]する,to depart,shuppatsu suru,九時に出発します。 (We depart at nine.)
N5,着る,きる,着[き]る,to wear (upper body),kiru,コートを着ます。 (I wear a coat.)
N5,脱ぐ,ぬぐ,脱[ぬ]ぐ,to take off (clothes),nugu,靴を脱ぎます。 (I take off my shoes.)
N5,履く,はく,履[は]く,to wear (footwear),haku,靴を履きます。 (I put on shoes.)
N5,かぶる,かぶる,かぶる,to wear (on head),kaburu,帽子をかぶります。 (I wear a hat.)
N5,かける,かける,かける,to wear (glasses) / hang,kakeru,眼鏡をかけます。 (I wear glasses.)
N5,磨く,みがく,磨[みが]く,to polish / brush,migaku,歯を磨きます。 (I brush my teeth.)
N5,触る,さわる,触[さわ]る,to touch,sawaru,手で触ります。 (I touch it with my hand.)
N5,見せる,みせる,見[み]せる,to show,miseru,写真を見せます。 (I show a photo.)
N5,見つける,みつける,見[み]つける,to find,mitsukeru,鍵を見つけました。 (I found the key.)
N5,探す,さがす,探[さが]す,to look for,sagasu,本を探しています。 (I'm looking for a book.)
N5,直す,なおす,直[なお]す,to fix / repair,naosu,時計を直します。 (I fix the clock.)
N5,壊す,こわす,壊[こわ]す,to break (something),kowasu,おもちゃを壊しました。 (I broke the toy.)
N5,壊れる,こわれる,壊[こわ]れる,to break (by itself),kowareru,時計が壊れました。 (The clock broke.)
N5,落とす,おとす,落[お]とす,to drop,otosu,財布を落としました。 (I dropped my wallet.)
N5,落ちる,おちる,落[お]ちる,to fall,ochiru,本が落ちました。 (The book fell.)
N5,上げる,あげる,上[あ]げる,to raise,ageru,手を上げます。 (I raise my hand.)
N5,下げる,さげる,下[さ]げる,to lower,sageru,頭を下げます。 (I lower my head.)
N5,運ぶ,はこぶ,運[はこ]ぶ,to carry,hakobu,荷物を運びます。 (I carry the luggage.)
N5,並ぶ,ならぶ,並[なら]ぶ,to line up,narabu,列に並びます。 (I line up.)
N5,並べる,ならべる,並[なら]べる,to arrange,naraberu,本を並べます。 (I arrange the books.)
N5,集まる,あつまる,集[あつ]まる,to gather (by itself),atsumaru,みんなが集まります。 (Everyone gathers.)
N5,集める,あつめる,集[あつ]める,to collect,atsumeru,切手を集めます。 (I collect stamps.)
N5,包む,つつむ,包[つつ]む,to wrap,tsutsumu,プレゼントを包みます。 (I wrap a present.)
N5,届く,とどく,届[とど]く,to reach / arrive (mail),todoku,荷物が届きました。 (The package arrived.)
N5,届ける,とどける,届[とど]ける,to deliver,todokeru,手紙を届けます。 (I deliver a letter.)
N5,持って行く,もっていく,持[も]って行[い]く,to take (something) along,motte iku,傘を持って行きます。 (I'll take an umbrella.)
N5,持って来る,もってくる,持[も]って来[く]る,to bring,motte kuru,お弁当を持って来ます。 (I'll bring a lunch box.)
N5,連れて行く,つれていく,連[つ]れて行[い]く,to take (someone) along,tsurete iku,子供を連れて行きます。 (I'll take my child along.)
N5,手伝う,てつだう,手伝[てつだ]う,to help,tetsudau,母を手伝います。 (I help my mother.)
N5,頑張る,がんばる,頑張[がんば]る,to do one's best,ganbaru,試験を頑張ります。 (I'll do my best on the exam.)
N5,答える,こたえる,答[こた]える,to answer,kotaeru,質問に答えます。 (I answer the question.)
N5,覚える,おぼえる,覚[おぼ]える,to memorize,oboeru,単語を覚えます。 (I memorize vocabulary.)
N5,直る,なおる,直[なお]る,to be fixed / cured,naoru,病気が直りました。 (The illness got cured.)
N5,治る,なおる,治[なお]る,to heal,naoru,風邪が治りました。 (My cold healed.)
N5,咲く,さく,咲[さ]く,to bloom,saku,花が咲きます。 (The flowers bloom.)
N5,光る,ひかる,光[ひか]る,to shine,hikaru,星が光ります。 (The stars shine.)
N5,鳴る,なる,鳴[な]る,to ring / sound,naru,電話が鳴ります。 (The phone rings.)
N5,戻る,もどる,戻[もど]る,to return / go back,modoru,席に戻ります。 (I return to my seat.)
N5,空く,すく,空[す]く,to become empty,suku,お腹が空きました。 (I got hungry.)
N5,疲れる,つかれる,疲[つか]れる,to get tired,tsukareru,仕事で疲れました。 (I got tired from work.)
N5,太る,ふとる,太[ふと]る,to gain weight,futoru,最近太りました。 (I've gained weight recently.)
N5,痩せる,やせる,痩[や]せる,to lose weight,yaseru,少し痩せました。 (I lost a bit of weight.)
N5,数学,すうがく,数学[すうがく],mathematics,suugaku,数学が苦手です。 (I'm bad at math.)
N5,歴史,れきし,歴史[れきし],history,rekishi,歴史を勉強します。 (I study history.)
N5,科学,かがく,科学[かがく],science,kagaku,科学が好きです。 (I like science.)
N5,地理,ちり,地理[ちり],geography,chiri,地理のテストがあります。 (There's a geography test.)
N5,授業,じゅぎょう,授業[じゅぎょう],class / lesson,jugyou,授業が始まります。 (Class begins.)
N5,留学,りゅうがく,留学[りゅうがく],study abroad,ryuugaku,アメリカに留学します。 (I'll study abroad in America.)
N5,卒業,そつぎょう,卒業[そつぎょう],graduation,sotsugyou,来年、卒業します。 (I'll graduate next year.)
N5,入学,にゅうがく,入学[にゅうがく],school enrollment,nyuugaku,四月に入学します。 (I'll enroll in April.)
N5,パソコン,パソコン,パソコン,personal computer,pasokon,パソコンを使います。 (I use a computer.)
N5,携帯電話,けいたいでんわ,携帯電話[けいたいでんわ],mobile phone,keitai denwa,携帯電話をなくしました。 (I lost my mobile phone.)
N5,インターネット,インターネット,インターネット,internet,intaanetto,インターネットで調べます。 (I look it up on the internet.)
N5,メール,メール,メール,email,meeru,メールを送ります。 (I send an email.)
N5,カメラ,カメラ,カメラ,camera,kamera,カメラで撮ります。 (I take pictures with a camera.)
N5,意味,いみ,意味[いみ],meaning,imi,この言葉の意味は何ですか。 (What is the meaning of this word?)
N5,返事,へんじ,返事[へんじ],reply,henji,返事を書きます。 (I write a reply.)
N5,用事,ようじ,用事[ようじ],errand / business,youji,今日は用事があります。 (I have an errand today.)
N5,予定,よてい,予定[よてい],plan / schedule,yotei,明日の予定は何ですか。 (What are your plans for tomorrow?)
N5,経験,けいけん,経験[けいけん],experience,keiken,いい経験になりました。 (It became a good experience.)
N5,理由,りゆう,理由[りゆう],reason,riyuu,理由を教えてください。 (Please tell me the reason.)
N5,方法,ほうほう,方法[ほうほう],method,houhou,いい方法があります。 (There is a good method.)
N5,最初,さいしょ,最初[さいしょ],the beginning,saisho,"最初に自己紹介します。 (First, I'll introduce myself.)"
N5,最後,さいご,最後[さいご],the end,saigo,最後まで頑張ります。 (I'll do my best to the end.)
N5,両方,りょうほう,両方[りょうほう],both,ryouhou,両方とも好きです。 (I like both.)
N5,半分,はんぶん,半分[はんぶん],half,hanbun,半分食べました。 (I ate half.)
N5,部分,ぶぶん,部分[ぶぶん],part,bubun,この部分が難しいです。 (This part is difficult.)
N5,初め,はじめ,初[はじ]め,beginning,hajime,初めまして。 (Nice to meet you (lit. beginning).)
N5,終わり,おわり,終[お]わり,end,owari,これで終わりです。 (This is the end.)
N5,音,おと,音[おと],sound,oto,変な音が聞こえます。 (I hear a strange sound.)
N5,匂い,におい,匂[にお]い,smell,nioi,いい匂いがします。 (It smells good.)
N5,味,あじ,味[あじ],taste,aji,この料理の味はいいです。 (This dish tastes good.)
N5,形,かたち,形[かたち],shape,katachi,丸い形です。 (It's a round shape.)
N5,大きさ,おおきさ,大[おお]きさ,size,ookisa,大きさが違います。 (The sizes are different.)
N5,速さ,はやさ,速[はや]さ,speed,hayasa,速さが必要です。 (Speed is necessary.)
N5,番組,ばんぐみ,番組[ばんぐみ],TV program,bangumi,面白い番組を見ました。 (I watched an interesting program.)
N5,記事,きじ,記事[きじ],article,kiji,新聞の記事を読みます。 (I read a newspaper article.)
N5,広告,こうこく,広告[こうこく],advertisement,koukoku,テレビの広告を見ました。 (I saw a TV advertisement.)
N5,それから,それから,それから,and then / after that,sorekara,"宿題をして、それから寝ます。 (I'll do homework, and then sleep.)"
N5,そして,そして,そして,and,soshite,"本を読んで、そして寝ました。 (I read a book, and then slept.)"
N5,しかし,しかし,しかし,however,shikashi,"しかし、時間がありません。 (However, there is no time.)"
N5,でも,でも,でも,but,demo,でも、行きたいです。 (But I want to go.)
N5,だから,だから,だから,so / therefore,dakara,雨です。だから傘を持ちます。 (It's raining. So I'll take an umbrella.)
N5,それで,それで,それで,so / and so,sorede,熱がある。それで休みます。 (I have a fever. So I'll rest.)
N5,または,または,または,or,matawa,バスまたは電車で行きます。 (I'll go by bus or train.)
N5,もし,もし,もし,if,moshi,"もし雨が降ったら、休みます。 (If it rains, I'll rest.)"
N5,例えば,たとえば,例[たと]えば,for example,tatoeba,"例えば、りんごやみかんです。 (For example, apples and oranges.)"
N5,特に,とくに,特[とく]に,especially,tokuni,特に夏が好きです。 (I especially like summer.)
N5,やっぱり,やっぱり,やっぱり,as expected / after all,yappari,やっぱり日本語は難しいです。 (Japanese is difficult after all.)
N5,もちろん,もちろん,もちろん,of course,mochiron,もちろん行きます。 (Of course I'll go.)
N5,きっと,きっと,きっと,surely,kitto,きっと大丈夫です。 (It will surely be fine.)
N5,たぶん,たぶん,たぶん,probably,tabun,たぶん雨が降ります。 (It will probably rain.)
N5,ぜひ,ぜひ,ぜひ,by all means,zehi,"ぜひ来てください。 (Please come, by all means.)"
N5,なぜなら,なぜなら,なぜなら,because,nazenara,疲れました。なぜなら働いたからです。 (I'm tired because I worked.)
N5,買い物,かいもの,買[か]い物[もの],shopping,kaimono,買い物に行きます。 (I go shopping.)
N5,お釣り,おつり,お釣[つ]り,change (money),otsuri,お釣りをください。 (Please give me my change.)
N5,レシート,レシート,レシート,receipt,reshiito,レシートをもらいます。 (I get a receipt.)
N5,無料,むりょう,無料[むりょう],free of charge,muryou,これは無料です。 (This is free.)
N5,半額,はんがく,半額[はんがく],half price,hangaku,今日は半額です。 (It's half price today.)
N5,心配,しんぱい,心配[しんぱい],worry,shinpai,心配しないでください。 (Please don't worry.)
N5,安心,あんしん,安心[あんしん],relief,anshin,それを聞いて安心しました。 (I felt relieved to hear that.)
N5,びっくりする,びっくりする,びっくりする,to be surprised,bikkuri suru,その音にびっくりしました。 (I was surprised by that sound.)
