"Grammar Point","Meaning","Formation","Example (Japanese)","Example (Romaji)","Example (English)","JLPT Level"
"なにか～ (nanika～)","Indicates 'something' or 'some kind of'.","なにか + Noun","なにか飲み物を持ってきてください。","Nanika nomimono wo motte kite kudasai.","Please bring some kind of drink.","JLPT N5"
"なにも～ないです (nani mo~nai desu)","Used to express 'not any' or 'nothing' in a negative sentence.","なにも + Verb-negative","彼はなにも言わなかったです。","Kare wa nani mo iwanakatta desu.","He didn't say anything.","JLPT N5"
"なにも～ません (nanimo~masen)","Used to express 'not anything', 'nothing'.","なにも + Verb-ます form + ません","昨日はなにも食べませんでした。","Kinou wa nanimo tabemasen deshita.","I didn't eat anything yesterday.","JLPT N5"
"なん～ (nan~)","Used to form interrogative questions and emphasize the question word for 'what', 'how'.","なん + Counter, なん + Verb, なん + Adjective","あなたはなん歳ですか？","Anata wa nan-sai desu ka?","How old are you?","JLPT N5"
"なんで～ (nande～)","Asking the reason or cause; 'why', 'how come'.","なんで + [phrase or sentence]","なんで遅れたの？","Nande okureta no?","Why were you late?","JLPT N5"
"なんでも～ (nandemo～)","Means 'any', 'anything', 'anyone'.","なんでも + Verb, なんでも + Adjective, なんでも + Noun","なんでも食べられるから、何を頼んでも大丈夫です。","Nandemo taberareru kara, nani wo tanondemo daijoubu desu.","I can eat anything, so it's okay to order whatever you want.","JLPT N5"
"～なんと 言いますか。 (〜nan to iimasu ka.)","Asking how something is called or referred to; 'how do you say'","Noun + は/が + なんと言いますか","この花はなんと言いますか。","Kono hana wa nan to iimasu ka.","How do you say this flower?","JLPT N5"
"～に あげます (〜 ni agemasu)","Used to express giving something to someone; 'give', 'offer'.","Receiver + に, Object + を, Verb-ます-form (あげます)","私は友達に本をあげました。","Watashi wa tomodachi ni hon wo agemashita.","I gave a book to my friend.","JLPT N5"
"～に もらいます (〜ni moraimasu)","To receive something or some action from someone; 'to get', 'to receive'.","Giver + に + Verb-te form + もらいます","友達にプレゼントをもらいました。","Tomodachi ni purezento wo moraimashita.","I received a gift from my friend.","JLPT N5"
"～の (〜no)","Express possession, apposition, or description using 'of' or 'or'.","Noun1 + の + Noun2, い-Adjective + の + Noun, な-Adjective + の + Noun","これは私の鞄です。","Kore wa watashi no kaban desu.","This is my bag.","JLPT N5"
"～はたいへんです (〜wa taihen desu)","Express that something is difficult or tough.","Noun + はたいへんです","漢字を覚えるのはたいへんです。","Kanji o oboeru no wa taihen desu.","It is difficult to remember kanji.","JLPT N5"
"ほとんど〜 (hotondo〜)","Used to express 'almost', 'nearly', or 'most'.","ほとんど + Verb, ほとんど + Noun","彼女はほとんど英語を話せません。","Kanojo wa hotondo eigo o hanasemasen.","She can hardly speak English.","JLPT N5"
"まあまあ～ (maa maa～)","Expresses something as 'so-so', 'not bad', or 'average'.","Used as an adverb with no need for additional grammar structures.","彼の料理の腕前はまあまあです。","Kare no ryouri no udemae wa maa maa desu.","His cooking skills are so-so.","JLPT N5"
"まだ〜 (mada〜)","Indicates something has not yet happened or is still happening; 'still', 'not yet'.","まだ + Verb (in non-past, negative non-past or te-form), まだ + い-adjective, まだ + な-adjective + じゃない/ではない, まだ + Noun + じゃない/ではない","昼ご飯はまだ食べていません。","Hirugohan wa mada tabete imasen.","I haven't eaten lunch yet.","JLPT N5"
"まだ〜ないです (mada 〜 nai desu)","Expresses that something has not happened or been done yet.","まだ + Verb-negative + です","まだ宿題をしていないです。","Mada shukudai wo shite inai desu.","I haven't done my homework yet.","JLPT N5"
"まだ～ません (mada ~masen)","Expresses that something has not happened or been done yet.","まだ + Verb-ます form (negative)","昼ご飯をまだ食べていません。","Hirugohan wo mada tabeteimasen.","I have not eaten lunch yet.","JLPT N5"
"もう～ (mou～)","Expresses 'already', 'anymore', or 'soon'.","もう + Verb, もう + Adjective, もう + Noun","もう昼ごはんを食べました。","Mou hirugohan o tabemashita.","I already ate lunch.","JLPT N5"
"もうすぐ〜 (mou sugu~)","Express an action or event happening soon; 'soon', 'in a short while', 'almost'.","もうすぐ + Verb (~ます form or 〜る form)","もうすぐ春が来ます。","Mou sugu haru ga kimasu.","Spring is coming soon.","JLPT N5"
"もっと〜 (motto〜)","Expresses 'more' or 'even more' when describing a quantity, frequency, or degree.","もっと + Verb / い-Adjective / な-Adjective","もっと勉強しなければなりません。","Motto benkyou shinakereba narimasen.","I have to study more.","JLPT N5"
"よく～ (yoku ~)","Often used to express 'doing something well' or 'often'","よく + Verb-casual","彼はよく勉強します。","Kare wa yoku benkyou shimasu.","He studies often.","JLPT N5"
"～（場所）に～があります (〜basho ni 〜 ga arimasu)","Express the existence or presence of something in a place.","Place + に + Object/Thing + が + あります","図書館にたくさんの本があります。","Toshokan ni takusan no hon ga arimasu.","There are many books in the library.","JLPT N5"
