word,reading,meanings,level,example_ja,example_en
化粧,けしょう,make-up (cosmetic),N3,化粧してるの？,Are you wearing makeup?
何,なに,what,N3,何してるの？,What are you doing?
何か,なにか,something,N3,何かあった？,Anything new?
何で,なんで,Why?; What for?,N3,何でもない。,Never mind!
何でも,なんでも,by all means; everything,N3,何でもない。,Never mind!
何とか,なんとか,somehow; anyhow; one way or another,N3,何とかしろ！,Do something!
価格,かかく,price; value; cost,N3,妥当な価格だね。,That's a fair price.
価値,かち,value; worth; merit,N3,直す価値がある？,Is it worth fixing?
加える,くわえる,to append; to sum up; to add (up),N3,彼は必要な変更を加える。,He makes necessary changes.
加わる,くわわる,to join in; to accede to; to increase; to gain in (influence),N3,彼が私達に加わるのは当然だと思った。,We took it for granted that he would join us.
加減,かげん,addition and subtraction; allowance for,N3,いい加減にして！,That's enough!
可,か,passable,N3,可能ですか？,Is that possible?
可能,かのう,possible; practicable; feasible,N3,可能ですか？,Is that possible?
嫁,よめ,bride; daughter-in-law,N3,彼女が嫁だ。,She's a bride.
家具,かぐ,furniture,N3,彼は家具屋だ。,He deals in furniture.
家事,かじ,housework; domestic chores,N3,家事も大切な仕事です。,Housework is also an important job.
家賃,やちん,rent,N3,家賃は払った？,Have you paid the rent?
科目,かもく,(school) subject; curriculum; course,N3,数学は難しい科目だ。,Mathematics is a difficult subject.
歌手,かしゅ,singer,N3,彼は歌手の卵だ。,He is a budding singer.
河,かわ,river; stream,N3,河童の川流れ。,The best swimmers are oftenest drowned.
火災,かさい,conflagration; fire,N3,火災警報が鳴った。,The fire alarm rang.
火曜,かよう,(abbr) Tuesday,N3,今日は火曜です。,Today is Tuesday.
稼ぐ,かせぐ,to earn income; to labor,N3,彼はおおいに稼ぐ。,He earns a great deal.
菓子,かし,pastry,N3,お菓子買ってよ。,Buy me a snack.
課,か,counter for chapters (of a book),N3,放課後だぜー。,It's after school.
過ごす,すごす,to pass; to spend; to go through; to tide over,N3,連休は何して過ごす？,What will you do over the holidays?
過去,かこ,the past; bygone days; the previous,N3,過去は過去。,Let bygones be bygones.
我々,われわれ,we,N3,我々が人民だ。,We are the people.
我慢,がまん,patience; endurance; perseverance,N3,我慢強いね。,You're patient.
画家,がか,painter; artist,N3,彼は画家だ。,He is a painter.
芽,め,sprout,N3,芽がでてきた。,The buds are just showing.
会,かい,meeting; assembly; party; association; club,N3,今夜会える？,Can you meet tonight?
会員,かいいん,member; the membership,N3,私は会員でした。,I was a member.
会計,かいけい,account; finance; accountant,N3,会計監査があった。,The accounts have been audited.
会合,かいごう,meeting; assembly,N3,会合を開いている。,We are having a meeting.
解く,とく,to unfasten,N3,彼は難問を解くのが好きだ。,He likes to work out the difficult questions.
解ける,とける,to come untied; to come apart,N3,それ解ける？,Can you solve it?
解決,かいけつ,settlement; solution; resolution,N3,解決は時間の問題だ。,The settlement is a matter of time.
解釈,かいしゃく,explanation; interpretation,N3,それは拡大解釈だね。,That's stretching the point.
回,かい,counter for occurrences,N3,急がば回れ。,"More haste, less speed."
回す,まわす,to turn; to revolve,N3,彼を敵に回すな。,Don't make an enemy of him.
回り,まわり,circumference; surroundings; circulation,N3,車輪が回りだした。,The wheel began to turn.
回復,かいふく,recovery (from illness); improvement; rehabilitation; restoration,N3,天気が回復した。,The weather has improved.
快適,かいてき,pleasant; agreeable; comfortable,N3,気候は快適です。,I really enjoy the climate.
怪我,けが,injury (to animate object); hurt,N3,怪我はない？,Are you hurt?
改善,かいぜん,betterment; improvement,N3,事態はまだ改善可能だ。,The situation is still capable of improvement.
海外,かいがい,foreign; abroad; overseas,N3,海外に行きたい。,I want to go abroad.
灰,はい,ash,N3,灰色が好き。,I like the color gray.
皆,みんな,all; everyone; everybody,N3,皆が笑った。,Everybody laughed.
絵画,かいが,picture,N3,これは絵画だ。,This is a painting.
開始,かいし,start; commencement; beginning,N3,敵軍が攻撃を開始した。,The hostile army began to attack.
外,ほか,other place; the rest,N3,戸外は暗い。,It is dark out of doors.
外す,はずす,to unfasten; to remove,N3,誰にも口外するな。,This is strictly between us.
外交,がいこう,diplomacy,N3,それは外交辞令だ。,Those words are mere diplomatic niceties.
外出,がいしゅつ,outing; going out,N3,外出したいな。,I want to go out.
咳,せき,cough,N3,咳が出ますか。,Do you have any coughing?
害,がい,injury; harm; evil influence; damage,N3,有害ですか。,Is it hazardous?
街,まち,(1) town; (2) street; road,N3,街に行きたい。,I want to go into town.
拡大,かくだい,magnification; enlargement,N3,それは拡大解釈だね。,That's stretching the point.
格好,かっこう,shape; form; posture; suitability,N3,格好つけるな。,Come off it!
確かめる,たしかめる,to ascertain,N3,私は事の真相を確かめるつもりだ。,I am going to ascertain the truth of the matter.
確実,かくじつ,certainty; reliability; soundness,N3,絶対確実だ。,There is no doubt.
確認,かくにん,affirmation; confirmation,N3,ご確認ください。,Please confirm.
覚ます,さます,to awaken,N3,サタンの亡霊が目を覚ます。,Satan's ghost awakes.
覚める,さめる,to wake; to wake up,N3,彼は早く目が覚める。,He wakes up early.
覚悟,かくご,resolution; resignation; readiness; preparedness,N3,死ぬ覚悟でやれ。,Do or die.
角,すみ,horn,N3,氷山の一角だよ。,It's the tip of the iceberg.
革,かわ,leather,N3,革命記念日万歳！,Celebrate the revolution memorial day!
学,がく,learning; scholarship; erudition; knowledge,N3,彼は晩学だ。,He acquired education late in his life.
学ぶ,まなぶ,to study (in depth); to learn; to take lessons in,N3,人は経験から学ぶ。,People learn from experience.
学期,がっき,term (school),N3,二学期は終わった。,The second term came to an end.
学者,がくしゃ,scholar,N3,彼は物理学者だ。,He is a physicist.
学習,がくしゅう,study; learning,N3,それが最良の英語学習法だ。,That's the best approach to the study of English.
学問,がくもん,scholarship; study; learning,N3,学問に王道なし。,There is no easy road to learning.
楽,らく,comfort; ease,N3,道楽しよう。,Let's live it up!
額,がく,forehead; brow,N3,差額はありますか。,Is there a difference?
掛かる,かかる,to take (e.g. time; money; etc); to hang,N3,壁により掛かるな。,Don't lean against the wall.
割る,わる,to divide; to cut; to break; to halve,N3,鏡を割るな。,Never break a mirror.
活気,かっき,energy; liveliness,N3,この町は活気がない。,This town isn't lively.
活動,かつどう,action; activity,N3,就職活動はどう？,How's the job hunt?
活用,かつよう,conjugation; practical use,N3,彼は風呂敷を十分に活用した。,He took full advantage of the wrapper.
株,かぶ,share; stock; stump (of tree),N3,株価が急落した。,Stocks fell hard.
刈る,かる,to cut (hair); to mow (grass); to harvest,N3,芝は刈る必要がある。,The grass needs cutting.
勘,かん,perception; intuition; the sixth sense,N3,勘定は勘定。,Business is business.
勘定,かんじょう,calculation; counting; consideration,N3,勘定は勘定。,Business is business.
勧める,すすめる,to recommend; to advise; to encourage; to offer (wine),N3,誰かに自殺を勧めることは犯罪ですか？,Is it a crime to encourage someone to commit suicide?
完成,かんせい,(1) complete; completion; (2) perfection; accomplishment,N3,練習が完成を生む。,Practice makes perfect.
完全,かんぜん,perfection; completeness,N3,完全に負かした。,I beat him completely in the debate.
完了,かんりょう,completion; conclusion,N3,よし！掃討完了！,Alright! They're all mopped up!
患者,かんじゃ,a patient,N3,私は患者です。,I'm a patient.
感じ,かんじ,feeling; sense; impression,N3,生を感じる。,I feel alive.
感じる,かんじる,to feel; to sense; to experience,N3,生を感じる。,I feel alive.
感覚,かんかく,sense; sensation,N3,彼は感覚が鈍い。,He has dull senses.
感謝,かんしゃ,thanks; gratitude,N3,俺に感謝しろよ。,You should thank me.
感情,かんじょう,emotion(s); feeling(s); sentiment,N3,彼は感情を抑えた。,He subdued his passions.
感心,かんしん,admiration; Well done!,N3,君の勇気には感心する。,I admire your courage.
感動,かんどう,being deeply moved; excitement; impression; deep emotion,N3,彼の涙に感動した。,I was moved by his tears.
換える,かえる,to exchange; to interchange; to substitute; to replace,N3,乗り換えるのですか。,Do I have to change trains?
歓迎,かんげい,welcome; reception,N3,大歓迎だよ。,You are very welcome.
汗,あせ,sweat; perspiration,N3,汗だくだよ。,I'm dripping with sweat.
環境,かんきょう,environment; circumstance,N3,彼は環境に順応した。,He adapted himself to circumstances.
監督,かんとく,supervision; control; superintendence,N3,トムの監督です。,I'm Tom's coach.
管,くだ,pipe; tube,N3,私は管理者だ。,I'm an admin.
管理,かんり,control; management (e.g. of a business),N3,私は管理者だ。,I'm an admin.
缶,かん,can; tin,N3,缶は空っぽだ。,The can is empty.
観客,かんきゃく,audience; spectator(s),N3,観客は深い感銘を受けた。,The audience was deeply affected.
観光,かんこう,sightseeing,N3,私も観光客です。,"I'm a tourist, too."
観察,かんさつ,observation; survey,N3,彼は観察力が鋭い。,He has an acute sense of observation.
間,ま,space; room; time; pause,N3,貸し間あり。,Room for rent.
間違い,まちがい,mistake,N3,間違いない！,I'm absolutely sure!
関する,かんする,to concern; to be related,N3,彼は中国に関する権威だ。,He is an authority on China.
関心,かんしん,concern; interest,N3,政治に関心があるの？,Are you interested in politics?
関連,かんれん,relation; connection; relevance,N3,俳句は季節と関連が深い。,Haiku are closely related to the seasons of the year.
丸,まる,circle; full (month); perfection; purity; suffix for ship names,N3,地球は丸い。,The earth is round.
丸い,まるい,round; circular; spherical,N3,地球は丸い。,The earth is round.
含む,ふくむ,to hold in the mouth; to bear in mind,N3,水は水素と酸素を含む。,Water contains hydrogen and oxygen.
岸,きし,bank; coast; shore,N3,海岸に行ったよ。,They went to the beach.
岩,いわ,rock; crag,N3,私は岩本和人です。,I am Kazuto Iwamoto.
願い,ねがい,desire; wish; request,N3,星に願いを。,Let me wish upon a shooting star.
願う,ねがう,to desire; to wish; to request,N3,私達は平和を願う。,We long for peace.
企業,きぎょう,enterprise; undertaking,N3,商法は企業法といえる。,Commercial Code can be called an enterprise method.
喜び,よろこび,(a) joy; (a) delight; rapture; pleasure; gratification; rejoicing; congratulations; felicitations,N3,彼は大喜びだ。,He's tickled pink.
器用,きよう,skillful; handy,N3,私は不器用です。,I'm all thumbs.
基,もと,basis,N3,基本が大切よ。,Fundamentals are important.
基づく,もとづく,to be grounded on; to be based on; to be due to; to originate from,N3,税金は収入に基づく。,Taxation is based on income.
基本,きほん,foundation; basis; standard,N3,基本が大切よ。,Fundamentals are important.
奇妙,きみょう,strange; queer; curious,N3,奇妙な話だった。,It was a strange story.
嬉しい,うれしい,happy; glad; pleasant,N3,ああ嬉しい。,How glad I am!
寄付,きふ,contribution; donation,N3,寄付したよ。,I contributed.
希望,きぼう,hope; wish; aspiration,N3,希望を失った。,We lost hope.
幾つ,いくつ,how many?; how old?,N3,お幾つですか？,How old are you?
幾ら,いくら,how much?; how many?,N3,幾らするの？,How much does it cost?
旗,はた,flag,N3,彼は旗をかかげた。,He put up a flag.
既に,すでに,already; too late,N3,あ、既にあった！,Oh! It was already there.
期間,きかん,period; term,N3,問題は期間だな。,The question is how long.
期待,きたい,expectation; anticipation; hope,N3,期待しないでね。,Don't hold your breath.
機械,きかい,machine; mechanism,N3,ようこそ機械へ。,Welcome to the machine.
機関,きかん,organ; mechanism; facility; engine,N3,蒸気機関は熱を力に変える。,A steam engine transforms heat into power.
機嫌,きげん,humour; temper; mood,N3,機嫌悪いの？,Are you in a bad mood?
機能,きのう,function; faculty,N3,これらは完全に機能する。,These are fully functional.
帰宅,きたく,returning home,N3,早く帰宅しろ。,Go home quickly.
気に入る,きにいる,to be pleased with; to suit,N3,彼女、きっと気に入るよ。,I'm sure she'll like it.
気の毒,きのどく,pitiful; a pity,N3,お気の毒様。,I am sorry for you.
気温,きおん,temperature,N3,平均気温が上昇した。,The average temperature has gone up.
気候,きこう,climate,N3,気候は快適です。,I really enjoy the climate.
気付く,きづく,to notice; to recognize; to become aware of,N3,子どもは一日に千回も違いに気付く。,He notices a thousand times a day the difference.
気味,きみ,-like; -looking; -looked,N3,貧血気味です。,I'm anemic.
記憶,きおく,memory; recollection; remembrance,N3,彼は記憶が良い。,He has a good memory.
記事,きじ,article; news story; report; account,N3,記事を一つ書きたい。,I want to write an article.
記者,きしゃ,reporter,N3,私は記者です。,I am a journalist.
記入,きにゅう,entry; filling in of forms,N3,事務員は原簿に記入した。,The clerk made an entry in his ledger.
記念,きねん,commemoration; memory,N3,革命記念日万歳！,Celebrate the revolution memorial day!
記録,きろく,record; minutes; document,N3,彼は記録を破った。,He has broken the record.
貴重,きちょう,precious; valuable,N3,時間は貴重です。,Time is valuable.
起こる,おこる,to occur; to happen,N3,何が起こるだろう。,What would happen?
輝く,かがやく,to shine; to glitter; to sparkle,N3,月は夜に輝く。,The moon shines at night.
鬼,おに,ogre; demon; it (i.e.; in a game of tag),N3,鬼の目にも涙。,Even the hard-hearted can be moved to tears.
宜しい,よろしい,(hon) good; OK; all right; fine; very well; will do; may; can,N3,窓を開けても宜しいですか。,Can I open the window?
技師,ぎし,engineer; technician,N3,私の兄は技師です。,My brother is an engineer.
疑う,うたがう,to doubt; to distrust; to be suspicious of; to suspect,N3,疑う余地はない。,There is no room for doubt.
疑問,ぎもん,question; problem; doubt; guess,N3,疑問が多い。,I have many doubts.
義務,ぎむ,duty; obligation; responsibility,N3,彼は義務を怠った。,He neglected his duties.
議員,ぎいん,member of the Diet; congress or parliament,N3,彼は議員である。,He is in the House.
議会,ぎかい,Diet; congress; parliament,N3,議会は解散した。,Parliament has been dissolved.
議長,ぎちょう,chairman,N3,彼は議長を務めた。,He acted as chairman.
議論,ぎろん,argument; discussion; dispute,N3,議論は継続中だ。,Discussions are ongoing.
詰める,つめる,to pack; to shorten; to work out (details),N3,彼らは出資を切り詰めるでしょう。,They will cut down on their expenses.
逆,ぎゃく,reverse; opposite,N3,帝国の逆襲。,The empire strikes back.
逆らう,さからう,to go against; to oppose; to disobey; to defy,N3,彼に逆らうな。,Don't oppose him.
丘,おか,hill; height; knoll; rising ground,N3,私は丘を見た。,I saw the hill.
休暇,きゅうか,holiday; day off; furlough,N3,良い休暇を。,Have a nice vacation.
休憩,きゅうけい,rest; break; recess; intermission,N3,休憩したい？,Do you want to rest?
及ぼす,およぼす,to exert; to cause; to exercise,N3,それは我々に危害を及ぼすだろう。,It will do harm to us.
吸収,きゅうしゅう,absorption; suction; attraction,N3,綿は水を吸収する。,Cotton absorbs water.
急激,きゅうげき,sudden; precipitous; radical,N3,その党は急激にのびた。,The party gained ground rapidly.
急速,きゅうそく,rapid (e.g. progress),N3,潮が急速に満ちてくる。,The tide is rising fast.
救う,すくう,to rescue from; to help out of,N3,彼は彼女を救うために命をかけた。,He risked his life to save her.
救助,きゅうじょ,relief; aid; rescue,N3,乗組員全員が救助された。,The whole crew was saved.
求める,もとめる,to seek; to request; to demand; to want; to wish for; to search for; to pursue (pleasure); to hunt (a job),N3,名声を求めるな。,Don't chase after fame.
球,きゅう,globe; sphere; ball,N3,地球は丸い。,The earth is round.
級,きゅう,class; grade; rank; school class; grade,N3,同級生なんです。,They're classmates.
給料,きゅうりょう,salary; wages,N3,給料はいくら？,What is your salary?
旧,きゅう,ex-,N3,旧車ですか。,Is this a vintage car?
牛,うし,cattle; cow,N3,牛肉は高い。,Beef is expensive.
去る,さる,to leave; to go away,N3,時は飛び去る。,Time flies.
居る,おる,to be (animate); to be; to exist,N3,彼は次の角に居る。,He's at the next corner.
居間,いま,living room (western style),N3,居間の電気は消したの？,Did you turn off the living room light?
居眠り,いねむり,dozing; nodding off,N3,彼は居眠りをした。,He dozed off.
巨大,きょだい,huge; gigantic; enormous,N3,木星は巨大だ。,Jupiter is very large.
許す,ゆるす,to permit; to allow; to approve,N3,彼には気を許すな。,Be on your guard against him.
許可,きょか,permission; approval,N3,許可が必要ですか？,Do I need permission?
魚,うお,fish,N3,魚を食べる。,I eat fish.
供給,きょうきゅう,supply; provision,N3,食料の供給は十分だ。,There are abundant food supplies.
競技,きょうぎ,game; match; contest,N3,彼らは団体競技に参加した。,They participated in the team games.
共に,ともに,sharing with; participate in,N3,輝ける魂と共に。,Shine on my brilliant soul.
共通,きょうつう,commonness; community,N3,彼らには、共通点が多い。,They have a lot in common.
共同,きょうどう,cooperation; association; collaboration; joint,N3,共同責任無責任。,Everybody's business is nobody's business.
協力,きょうりょく,cooperation; collaboration,N3,私は彼と協力した。,I went into partnership with him.
叫ぶ,さけぶ,to shout; to cry,N3,野原で叫ぶ声がした。,There was a voice crying in the field.
境,さかい,border; boundary; mental state,N3,同じ心境です。,We feel the same way as you.
強調,きょうちょう,emphasis; stress; stressed point,N3,私はその点を強調した。,I stressed the point.
強盗,ごうとう,robbery; burglary,N3,強盗は縛られていた。,The robber was tied up.
強力,きょうりょく,herculean strength; mountain carrier-guide,N3,彼らはより強力な武器を作った。,They made more powerful arms.
恐れる,おそれる,to fear; to be afraid of,N3,失敗を恐れるな。,Don't be afraid of making mistakes.
恐ろしい,おそろしい,terrible; dreadful,N3,ああ、何て恐ろしい。,"Oh, how awful!"
恐怖,きょうふ,be afraid; dread; dismay; terror,N3,恐怖を感じた。,I felt afraid.
教科書,きょうかしょ,text book,N3,教科書は、高い。,Textbooks are expensive.
教師,きょうし,teacher (classroom),N3,彼は教師です。,He is a teacher.
教授,きょうじゅ,teaching; instruction; professor,N3,私は教授です。,I am a professor.
狂う,くるう,to go mad; to get out of order,N3,一つ間違えば一里も狂う。,A miss is as good as a mile.
胸,むね,breast; chest,N3,度胸があるな。,You have got a lot of nerve.
局,きょく,court lady; lady in waiting,N3,結局失敗するさ。,"After all, it's sure to fail."
極,ごく,quite; very,N3,外は極寒だ。,It's freezing cold outside.
玉,たま,ball; sphere; coin,N3,玉屋！鍵屋！,Jeweler! Locksmith!
僅か,わずか,only; merely; a little; small quantity,N3,その列車の乗客はほんの僅かしかいない。,There are very few passengers in the train.
勤め,つとめ,(1) service; duty; business; responsibility; task; (2) Buddhist religious services,N3,私は毎日勤めに出ます。,I go to work every day.
禁煙,きんえん,No Smoking!,N3,劇場内禁煙。,No smoking in the theater.
禁止,きんし,prohibition; ban,N3,立ち入り禁止。,No Trespassing.
筋,すじ,muscle; string; line,N3,全身筋肉痛だ。,My whole body is sore.
筋肉,きんにく,muscle; sinew,N3,全身筋肉痛だ。,My whole body is sore.
緊張,きんちょう,tension; mental strain; nervousness,N3,緊張してるの？,Are you nervous?
近頃,ちかごろ,lately; recently; nowadays,N3,近頃牛肉は高い。,Beef is expensive nowadays.
近代,きんだい,present day,N3,彼は近代文学を専攻している。,He majors in modern literature.
金,かね,(1) gold; (2) gold general (shogi) (abbr),N3,彼は金髪だ。,He has blond hair.
金額,きんがく,amount of money,N3,私はその金額の２倍払った。,I paid double the sum.
金庫,きんこ,safe; vault; treasury; provider of funds,N3,金庫はどこ？,Where's the safe?
金持ち,かねもち,rich man,N3,彼は金持ちだ。,He has a lot of money.
金銭,きんせん,money; cash,N3,親子の中でも金銭は他人。,Trade knows neither friends or kindred.
金属,きんぞく,metal,N3,金は貴金属だ。,Gold is a precious metal.
金融,きんゆう,monetary circulation; credit situation,N3,国際金融で仕事を続けるつもりです。,I plan to pursue a career in international finance.
金曜,きんよう,(abbr) Friday,N3,金曜ならどう？,How about Friday?
銀,ぎん,(1) silver; silver coin; silver paint,N3,彼は銀行員です。,He is a bank clerk.
九,きゅう,nine,N3,九時間寝た。,I slept for 9 hours.
句,く,sentence,N3,文句を言うな。,Don't complain.
区別,くべつ,distinction; differentiation; classification,N3,彼は善悪の区別がない。,He cannot tell right from wrong.
苦しい,くるしい,painful; difficult,N3,息苦しいです。,It's hard to breathe.
苦しむ,くるしむ,to suffer; to groan; to be worried,N3,生きることは苦しむこと。,To live is to suffer.
苦手,にがて,poor (at); weak (in); dislike (of),N3,猫が苦手なの。,I'm afraid of cats.
苦痛,くつう,pain; agony,N3,兵士は苦痛でうめいた。,The soldier groaned with pain.
苦労,くろう,troubles; hardships,N3,苦労するよ。,You'll have a hard time.
具体,ぐたい,concrete; tangible; material,N3,具体的に何を見たの？,What did you see exactly?
空,から,sky,N3,空耳ですよ。,You are hearing things.
空き,あき,room; time to spare; emptiness,N3,空き缶あったよ。,I found the empty tin.
空く,すく,(1) to open; to become empty; (2) to be less crowded,N3,あと１０分で手が空く。,I will be free in ten minutes.
偶,たま,even number; couple; man and wife; friend,N3,偶然に頼るな。,Don't leave it up to chance.
偶々,たまたま,casually; unexpectedly; accidentally; by chance,N3,,
偶然,ぐうぜん,(by) chance; unexpectedly; suddenly,N3,偶然に頼るな。,Don't leave it up to chance.
繰り返す,くりかえす,to repeat; to do something over again,N3,歴史は繰り返す。,History repeats itself.
訓,くん,native Japanese reading of a Chinese character,N3,実例は教訓にまさる。,Example is better than precept.
訓練,くんれん,practice; training,N3,才能は訓練を必要とする。,One's talent is in need of discipline.
軍,ぐん,army; force; troops,N3,勝てば官軍。,All is fair in love and war.
軍隊,ぐんたい,army; troops,N3,彼は軍隊にいる。,He's in military service.
係,かかり,official; duty; person in charge,N3,無関係です。,It is nothing to me.
傾向,けいこう,tendency; trend; inclination,N3,物価は上昇傾向にある。,Prices are on the upward trend.
刑事,けいじ,criminal case; (police) detective,N3,彼は刑事だ。,He is a detective.
型,かた,mold; model; style; shape; data-type,N3,血液型何型？,What's your blood type?
契約,けいやく,contract; compact; agreement,N3,契約したの？,Did you sign the contract?
掲示,けいじ,notice; bulletin,N3,ボードに掲示を張ってください。,Stick a notice on the board.
敬意,けいい,respect; honour,N3,勇者に敬意を払いなさい。,Pay honor to the brave.
景気,けいき,condition; state; business (condition),N3,景気はどう？,How goes it?
経つ,たつ,to pass; to lapse,N3,時が経つのは早い。,Time passes quickly.
経営,けいえい,management; administration,N3,家族経営です。,It's a family business.
経験,けいけん,experience,N3,彼は経験不足だ。,He is lacking in experience.
経由,けいゆ,go by the way; via,N3,経由地はどこですか。,Where does it stop over?
繋ぐ,つなぐ,to tie; to fasten; to connect; to transfer (phone call),N3,フォークダンスで男子と手を繋ぐのがやだ。,I don't want to hold hands with a boy in a folk dance.
計,けい,plan,N3,時計してる？,Are you wearing a watch?
計る,はかる,to measure; to weigh; to survey,N3,事を計るは人、事を成すは神。,"Man plans things, but the gods decide."
計画,けいかく,plan; project; schedule; scheme; program,N3,計画はできた。,Our plan is made.
計算,けいさん,calculation; reckoning,N3,計算機使えば。,Use a calculator.
警告,けいこく,warning; advice,N3,警告ありがとう。,Thank you for your warning.
芸術,げいじゅつ,(fine) art; the arts,N3,これは芸術なの？,Is this art?
迎え,むかえ,meeting; person sent to pick up an arrival,N3,迎えに来て。,Come pick me up.
劇,げき,drama; play,N3,劇場内禁煙。,No smoking in the theater.
劇場,げきじょう,theatre; playhouse,N3,劇場内禁煙。,No smoking in the theater.
撃つ,うつ,to attack; to defeat; to destroy,N3,動くな撃つぞ。,"Don't move, or I'll shoot you."
激しい,はげしい,violent; vehement; intense,N3,胎動が激しいです。,My baby kicks very hard.
欠ける,かける,to be lacking,N3,彼は経験に欠ける。,He is devoid of experience.
欠陥,けっかん,defect; fault; deficiency,N3,この携帯は欠陥品だ。,This phone is defective.
欠席,けっせき,absence; non-attendance,N3,会を欠席した。,I absented myself from the meeting.
欠点,けってん,faults; defect; weakness,N3,彼は欠点だらけだ。,He is a mass of faults.
決まり,きまり,settlement; conclusion; regulation; rule,N3,これで決まりだ。,This is it.
決心,けっしん,determination; resolution,N3,私は決心した。,I've made up my mind.
決定,けってい,decision; determination,N3,決定は延期された。,The decision was put off.
穴,あな,hole,N3,彼は穴を掘った。,He dug a hole.
結ぶ,むすぶ,to tie; to bind; to link,N3,彼の努力は実を結ぶだろう。,His effort will bear fruit.
結果,けっか,result; consequence,N3,結果は良い。,The results are good.
結局,けっきょく,after all; eventually,N3,結局失敗するさ。,"After all, it's sure to fail."
結論,けつろん,conclusion,N3,討論は結論に達した。,The discussion came to a conclusion.
月,つき,moon; month,N3,月曜日です。,It's Monday.
月曜,げつよう,Monday,N3,月曜日です。,It's Monday.
健康,けんこう,health; sound; wholesome,N3,彼は健康だ。,He enjoys good health.
券,けん,ticket; coupon; bond; certificate,N3,回数券を下さい。,May I have coupon tickets?
喧嘩,けんか,quarrel; (drunken) brawl; failure,N3,喧嘩両成敗。,It takes two to make a quarrel.
嫌う,きらう,to hate; to dislike; to loathe,N3,彼は自分を嫌う。,He hates himself.
建設,けんせつ,construction; establishment,N3,建設的な提案だよ。,That's a constructive suggestion!
建築,けんちく,construction; architecture,N3,建築資材は今高い。,Building materials are expensive now.
憲法,けんぽう,constitution,N3,憲法を侵してはならない。,We must not violate the Constitution.
検査,けんさ,inspection (e.g. customs; factory); examination,N3,視力検査をします。,I'll check your vision.
検討,けんとう,consideration; examination; investigation; study; scrutiny,N3,検討中です。,That's under consideration.
権利,けんり,right; privilege,N3,権利を行使する。,I exercise my rights.
県,けん,prefecture,N3,沖縄県民斯く戦えり。,Thus fought the Okinawan people.
肩,かた,shoulder,N3,肩が凝った。,I have a stiff shoulder.
見る,みる,to see; to watch,N3,アニメ見る？,Do you watch anime?
見解,けんかい,opinion; point of view,N3,それが私の見解だ。,That's my point of view.
見事,みごと,splendid; magnificent; beautiful; admirable,N3,見事な景色だ。,The view is breathtaking.
見送り,みおくり,seeing one off; farewell; escort,N3,見送りありがとう。,Thank you for your kindness in seeing me.
見当,けんとう,be found; aim; estimate; guess; approx,N3,鍵が見当たらない。,I can't find my key.
見舞い,みまい,enquiry; expression of sympathy; expression of concern,N3,お見舞いありがとう。,Thank you for coming.
賢い,かしこい,wise; clever; smart,N3,トムは賢い。,Tom is smart.
軒,けん,eaves,N3,彼の家は２軒先です。,He lives two doors off.
鍵,かぎ,key,N3,鍵がないと。,I need my keys.
元,もと,(1) origin; original; (2) former,N3,元気出して。,Cheer up!
原,はら,field; plain; prairie; tundra; moor; wilderness,N3,何が原因ですか。,What's the cause?
減らす,へらす,to abate; to decrease; to diminish; to shorten,N3,包装は腐敗を減らす。,Food packaging reduces spoilage.
減る,へる,to decrease (in size or number); to diminish; to abate,N3,列車の旅は減る傾向にある。,Travel by train has been on the decrease.
現す,あらわす,to show; to indicate; to display,N3,この夢は実現するだろう。,This dream will come true.
現れ,あらわれ,embodiment; materialization,N3,聖霊が現れた。,Spirit manifested itself.
現れる,あらわれる,(1) to appear; to come in sight; to become visible; (2) to express oneself,N3,二度と現れるな！,Don't you ever darken my door again!
現金,げんきん,cash; ready money; mercenary; self-interested,N3,現金な人ね。,"A calculative person, aren't they."
現在,げんざい,present; up to now; nowadays; modern times; current,N3,現在の時刻は？,What time is it now?
現実,げんじつ,reality,N3,それが現実だ。,That's the way it is.
現象,げんしょう,phenomenon,N3,老化現象の一種です。,This is a condition caused by aging.
現場,げんば,actual spot; scene; scene of the crime,N3,現場へと走った。,They ran to the scene.
現状,げんじょう,present condition; existing state; status quo,N3,彼は現状を大いに嘆いた。,He deeply deplored the situation.
現代,げんだい,nowadays; modern times; present-day,N3,彼は現代のバッハだ。,He's the Bach of today.
言う,ゆう,to say,N3,よく言うよ。,Don't make me laugh.
言わば,いわば,so to speak,N3,その老人は言わば生き字引だ。,"That old man is, so to speak, a walking dictionary."
言語,げんご,language,N3,言語が好きです。,I like languages.
諺,ことわざ,proverb; maxim,N3,好きな諺は何ですか？,What's your favorite proverb?
限る,かぎる,to restrict; to limit; to confine,N3,夏はスイカに限る！,In summer it's watermelon or nothing!
限界,げんかい,limit; bound,N3,もう限界だ。,I have reached my limits.
個人,こじん,individual; private person; personal; private,N3,社会は個人より成る。,Society consists of individuals.
呼吸,こきゅう,breath; respiration,N3,深呼吸をして。,Take a deep breath.
故郷,こきょう,home town; birthplace; old village; historic village,N3,故郷が恋しいな。,I miss my hometown.
故障,こしょう,break-down; failure; accident; out of order,N3,テレビが故障した。,My TV has broken down.
虎,とら,tiger,N3,彼は虎が好き。,He likes a tiger.
誇り,ほこり,pride,N3,私は兄を誇りに思う。,I'm proud of my brother.
雇う,やとう,to employ; to hire,N3,あなたは彼を雇うことができる。,You can employ him.
