"Grammar Point","Meaning","Formation","Example (Japanese)","Example (Romaji)","Example (English)","JLPT Level"
"まったく～ない (mattaku ~nai)","Completely not; not at all.","まったく + Verb-negative, まったく + い-Adjective-negative, まったく + な-Adjective-negative","彼は、まったく覚えていない。","Kare wa, mattaku oboete inai.","He doesn't remember at all.","JLPT N3"
"～まで (〜made)","Express 'until', 'up to', or 'as far as' to indicate the end point of an action or range.","Verb-casual + まで, い-Adjective + まで,な-Adjective + まで, Noun + まで","10時まで働きます。","Ju-ji made hatarakimasu.","I will work until 10 o'clock.","JLPT N3"
"～まま (〜mama)","Expresses the state or condition remaining unchanged.","Verb-ます stem + まま, い-Adjective + まま, な-Adjective + なまま, Noun + のまま","部屋の窓を開けたまま寝ました。","Heya no mado wo aketa mama nemashita.","I slept with the window of the room open.","JLPT N3"
"まるで～よう (maru de ~ you)","Used to express a strong resemblance or similarity; 'as if', 'just like', 'as though'.","まるで + phrase/sentence + よう","彼女はまるで天使のように美しい。","Kanojo wa maru de tenshi no you ni utsukushii.","She is as beautiful as an angel.","JLPT N3"
"～み (～mi)","A suffix that emphasizes the actions of verbs.","Verb-stem + み","彼は走りみたが、まだ膝が痛いと感じた。","Kare wa hashirimita ga, mada hiza ga itai to kanjita.","He tried running, but he still felt pain in his knee.","JLPT N3"
"～みたいだ (〜mitai da)","Express similarity or appearance; 'like', 'seems', 'looks'.","Verb-casual + みたいだ, い-Adjective + みたいだ, な-Adjective + みたいだ, Noun + みたいだ","彼は怒っているみたいだ。","Kare wa okotte iru mitai da.","He seems to be angry.","JLPT N3"
"～めったに～ない (〜metta ni 〜nai)","Used to express that something rarely, hardly ever or seldom happens.","めったに + Verb[ない-form], めったに + い-Adjective[ない-form], めったに + な-Adjective[じゃない/ではない-form]","彼はめったに外食しない。","Kare wa metta ni gaishoku shinai.","He hardly ever eats out.","JLPT N3"
"～めったにない (〜metta ni nai)","Expresses the rarity of an action, event or state; 'hardly', 'rarely', 'seldom'.","Verb-negative + めったにない, い-Adjective-negative + めったにない, な-Adjective-negative + めったにない, Noun-negative + めったにない","この町では雪が降ることはめったにない。","Kono machi de wa yuki ga furu koto wa metta ni nai.","It hardly ever snows in this town.","JLPT N3"
"もしかすると〜かもしれない (moshikasuru to 〜kamoshirenai)","Express the possibility of something; 'maybe', 'perhaps', 'might'.","もしかすると + Sentence + かもしれない","もしかすると彼は遅刻するかもしれない。","Moshikasuru to kare wa chikoku suru kamoshirenai.","Maybe he might be late.","JLPT N3"
"もし～たなら (moshi ~ tanara)","Express a hypothetical condition, 'if' or 'in case'.","もし + Verb-casual past + なら, もし + い-Adjective-casual past + なら, もし + な-Adjective + だったなら, もし + Noun + だったなら","もし雨が降ったなら、傘を持って行きましょう。","Moshi ame ga futta nara, kasa wo motte ikimashou.","If it rained, let's bring an umbrella.","JLPT N3"
"もし～としても (moshi ～ to shitemo)","Express a hypothetical situation; 'even if', 'suppose' or 'assuming'.","もし + (Verb-casual + としたら, い-Adjective + としたら, な-Adjective + だとしたら, Noun + だとしたら) + でも","もし雨が降っても、ピクニックに行きます。","Moshi ame ga futtemo, pikunikku ni ikimasu.","Even if it rains, we will go on a picnic.","JLPT N3"
"もしも～なら (moshimo ~ nara)","Express a hypothetical condition or situation; 'if', 'in case', 'suppose'","Verb-casual + なら, い-Adjective + なら, な-Adjective + なら, Noun + なら","もしも明日雨が降ったなら、出かけません。","Moshimo ashita ame ga futta nara, dekakemasen.","If it rains tomorrow, I won't go out.","JLPT N3"
"～ようとしない (〜you to shinai)","Not showing any sign or intention to do something.","Verb-masu stem + ようとしない","彼は勉強しようとしない。","Kare wa benkyou shiyou to shinai.","He doesn't show any sign of trying to study.","JLPT N3"
"～ようと思う (〜you to omou)","Expresses the speaker's intention or plan to do something.","Verb-volitional + と思う, い-Adjective + と思う, な-Adjective + だと思う, Noun + だと思う","今日は早く寝ようと思います。","Kyou wa hayaku neyou to omoimasu.","I think I will go to bed early today.","JLPT N3"
"～ように (〜you ni)","Expressing a purpose, a goal or a way of doing something; 'in order to', 'so that', 'like', 'as'","Verb-casual + ように, い-Adjective + ように, な-Adjective + に, Noun + のように","早く家に帰るように、仕事を急いで終わらせました。","Hayaku ie ni kaeru you ni, shigoto wo isoide owarasemashita.","In order to get home early, I hurried to finish my work.","JLPT N3"
"～ように (〜you ni)","Used to express a purpose, a way, or a natural tendency.","Verb-casual + ように, い-Adjective + ように, な-Adjective + だように, Noun + のように","子供が安全に過ごせるように、家の中を整理します。","Kodomo ga anzen ni sugoseru you ni, ie no naka wo seiri shimasu.","I will organize the inside of the house so that the children can spend time safely.","JLPT N3"
"～ように (〜you ni)","Used to express purpose or how something is done; 'like', 'as if', 'in order to'.","Verb-casual + ように, い-Adjective + ように, な-Adjective + に, Noun + のように","分かりやすいように説明してください。","Wakariyasui you ni setsumei shite kudasai.","Please explain it in a way that is easy to understand.","JLPT N3"
"～ようにしましょう (〜you ni shimashou)","A suggestion to make an effort or try to do something; 'let's try to', 'let's make sure to'.","Verb-volitional + ようにしましょう, い-Adjective + ようにしましょう,な-Adjective + にようにしましょう, Noun + にようにしましょう","毎日運動するようにしましょう。","Mainichi undou suru you ni shimashou.","Let's try to exercise every day.","JLPT N3"
"～ようになった (〜you ni natta)","Express an event or state that became possible; 'became able to', 'started to', 'now can'.","Verb-casual + ようになった, い-Adjective + ようになった, な-Adjective + にようになった, Noun + にようになった","彼は料理を作るようになった。","Kare wa ryouri wo tsukuru you ni natta.","He became able to cook.","JLPT N3"
"～ように言う (〜you ni iu)","To convey a message, instruction or request to someone; 'to tell (someone) to', 'to say to (someone)'.","Verb-ますstem + ように言う","先生は私にもっと勉強するように言った。","Sensei wa watashi ni motto benkyou suru you ni itta.","The teacher told me to study more.","JLPT N3"
"～らしい (〜rashii)","Expresses hearsay; 'I heard', 'it seems', 'apparently'.","Verb-casual + らしい, い-Adjective + らしい, な-Adjective + だらしい, Noun + だらしい","彼はインフルエンザらしい。","Kare wa infuruenza rashii.","Apparently, he has the flu.","JLPT N3"
"～られた (〜rareta)","Express a passive action, 'was/were', 'has/have been'.","Verb + られた","この本はたくさんの人に読まれた。","Kono hon wa takusan no hito ni yomareta.","This book was read by many people.","JLPT N3"
"～れている (〜rete iru)","Expresses the result of an action or state; 'has been', 'is', 'has'.","Verb-te form + いる","窓が開けられている。","Mado ga akerarete iru.","The window is open (as a result of someone having opened it).","JLPT N3"
"～わけがない (〜wake ga nai)","Expresses the idea that something is impossible, non-existent, or unreasonable.","Verb-casual + わけがない, い-Adjective + わけがない, な-Adjective + なわけがない, Noun + のわけがない","彼がそんなことを言うわけがない。","Kare ga sonna koto wo iu wake ga nai.","There's no way he would say something like that.","JLPT N3"
"～わけだ (〜wake da)","Expresses a conclusion or reason based on a situation; 'that's why', 'no wonder', 'it means'.","Verb-casual + わけだ, い-Adjective + わけだ, な-Adjective + なわけだ, Noun + のわけだ","彼は風邪を引いている。だから、声がかすれわけだ。","Kare wa kaze wo hiite iru. Dakara, koe ga kasure wake da.","He has a cold. That's why his voice is hoarse.","JLPT N3"
"～わけではない (〜wake dewa nai)","Denies a general assumption; 'it does not mean that', 'it's not the case'.","Verb-て form + わけではない, い-Adjective + わけではない, な-Adjective + だわけではない, Noun + だわけではない","彼が忙しいからといって、友達がいないわけではない。","Kare ga isogashii kara to itte, tomodachi ga inai wake de wa nai.","Just because he is busy, it doesn't mean he doesn't have friends.","JLPT N3"
"～わけにはいかない (〜wake ni wa ikanai)","Expresses that something cannot be allowed or permitted due to reasons such as social or moral obligations.","Verb-casual + わけにはいかない, い-Adjective + ことわけにはいかない, な-Adjective + であるわけにはいかない, Noun + であるわけにはいかない","そんなに腹が減っているわけにはいかないでしょう。","Sonna ni hara ga hetteiru wake ni wa ikanai deshou.","You can't be that hungry.","JLPT N3"
"～わりには (〜wari ni wa)","Despite; considering; even though","Verb-casual + わりには, い-Adjective + わりには, な-Adjective + だわりには, Noun + だわりには","彼はあまり勉強しないわりには、テストの点数が高いです。","Kare wa amari benkyou shinai wari ni wa, tesuto no tensuu ga takai desu.","Despite not studying much, he gets high scores on tests.","JLPT N3"
"～んだって (〜n datte)","Used to convey information heard from someone else; 'I heard', 'They said'.","Verb-casual + んだって, い-Adjective + んだって, な-Adjective + なんだって, Noun + なんだって","彼は東京に行くんだって。","Kare wa Toukyou ni iku n datte.","I heard he's going to Tokyo.","JLPT N3"
"～んだもん (〜nda mon)","Used to convey a sense of justification; 'because', 'that's why', 'it's just that'.","Verb-casual + んだもん, い-Adjective + んだもん, な-Adjective + なんだもん, Noun + なんだもん","遅れたんだもん、ごめん。","Okureta nda mon, gomen.","I was late, that's why I'm sorry.","JLPT N3"
"～上げる (〜ageru)","Indicates to finish doing something completely.","Verb-ますstem + 上げる","レポートを書き上げるまで、寝られません。","Repooto o kakiageru made, neraremasen.","I cannot sleep until I finish writing the report.","JLPT N3"
"～切れない (～kirenai)","Expresses inability to completely finish or do something.","Verb-stem + 切れない","この本を一晩で読み切れない。","Kono hon wo hitoban de yomikirenai.","I cannot finish reading this book in one night.","JLPT N3"
"必ずしも～とは限らない (kanarazushimo ～ towa kagiranai)","Not necessarily; not always.","必ずしも + Statement + とは限らない","高いものが必ずしも良いとは限らない。","Takai mono ga kanarazushimo yoi towa kagiranai.","Expensive things are not necessarily better.","JLPT N3"
"～最中に (～saichuu ni)","In the middle of / while doing something.","Verb-てform + いる + 最中に, Noun + の + 最中に","昼寝をしている最中に電話が鳴った。","Hirune o shiteiru saichuu ni denwa ga natta.","The phone rang while I was taking a nap.","JLPT N3"
"決して～ない (kesshite ~ nai)","Express 'never', 'by no means', or 'not at all' when negating a statement.","決して + Verb (negative form)","彼は決して遅刻しない。","Kare wa kesshite chikoku shinai.","He never arrives late.","JLPT N3"
